curb_ID timestep arr_car arr_truck dep_car dep_truck
2204 0 0.000000 0.000000 0.000000 0.000000
4202 0 0.000000 0.000000 0.000000 0.000000
6085 0 0.000000 0.000000 0.000000 0.000000
1217 0 0.000000 0.000000 0.000000 0.000000
1928 0 0.000000 0.000000 0.000000 0.000000
6489 0 0.000000 0.000000 0.000000 0.000000
6478 0 0.000000 0.000000 0.000000 0.000000
6477 0 0.000000 0.000000 0.000000 0.000000
1820 0 0.000000 0.000000 0.000000 0.000000
1819 0 0.000000 0.000000 0.000000 0.000000
1394 0 0.000000 0.000000 0.000000 0.000000
361 0 0.000000 0.000000 0.000000 0.000000
5546 0 0.000000 0.000000 0.000000 0.000000
4276 0 0.000000 0.000000 0.000000 0.000000
524 0 0.000000 0.000000 0.000000 0.000000
1835 0 1.500000 0.000000 0.000000 0.000000
243 0 0.000000 0.000000 0.000000 0.000000
1832 0 0.000000 0.500000 0.000000 0.000000
4612 0 0.000000 0.000000 0.000000 0.000000
1023 0 0.000000 0.000000 0.000000 0.000000
6506 0 0.000000 0.000000 0.000000 0.000000
1078 0 0.000000 0.000000 0.000000 0.000000
5923 0 0.000000 0.000000 0.000000 0.000000
37 0 0.000000 0.000000 0.000000 0.000000
5302 0 0.000000 0.000000 0.000000 0.000000
5924 0 0.000000 0.000000 0.000000 0.000000
4582 0 0.000000 0.000000 0.000000 0.000000
85 0 0.000000 0.000000 0.000000 0.000000
1079 0 0.000000 0.000000 0.000000 0.000000
2766 0 0.000000 0.000000 0.000000 0.000000
986 0 0.000000 0.000000 0.000000 0.000000
2631 0 0.000000 0.000000 0.000000 0.000000
6495 0 1.000000 1.500000 0.000000 0.000000
1214 0 0.000000 0.000000 0.000000 0.000000
1031 0 0.000000 0.000000 0.000000 0.000000
3850 0 0.000000 0.000000 0.000000 0.000000
2817 0 0.000000 0.000000 0.000000 0.000000
687 0 0.000000 0.000000 0.000000 0.000000
279 0 0.000000 0.000000 0.000000 0.000000
4842 0 0.000000 0.000000 0.000000 0.000000
1111 0 0.000000 0.000000 0.000000 0.000000
724 0 0.000000 0.000000 0.000000 0.000000
315 0 0.000000 0.000000 0.000000 0.000000
2495 0 0.000000 0.000000 0.000000 0.000000
4531 0 0.000000 0.000000 0.000000 0.000000
4159 0 0.000000 0.000000 0.000000 0.000000
5483 0 0.000000 0.000000 0.000000 0.000000
957 0 0.500000 0.000000 0.000000 0.000000
6450 0 0.000000 0.000000 0.000000 0.000000
1034 0 0.000000 0.000000 0.000000 0.000000
4891 0 0.000000 0.000000 0.000000 0.000000
2916 0 1.000000 0.500000 0.000000 0.000000
1233 0 0.000000 0.000000 0.000000 0.000000
3024 0 0.000000 0.000000 0.000000 0.000000
6836 0 0.000000 0.000000 0.000000 0.000000
1376 0 0.500000 0.000000 0.000000 0.000000
1381 0 0.000000 0.000000 0.000000 0.000000
